Block, 1, trialnr, 1, trialtype, 1, cuetype, Mask_A1, RZ, 0, ReactionType, miss
Block, 2, trialnr, 21, trialtype, 3, cuetype, Mask_A1, RZ, 610, ReactionType, hit
Block, 2, trialnr, 22, trialtype, 2, cuetype, Mask_B2_1, RZ, 540, ReactionType, hit
Block, 2, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 274, ReactionType, hit
Block, 2, trialnr, 24, trialtype, 1, cuetype, Mask_A1, RZ, 354, ReactionType, hit
Block, 2, trialnr, 25, trialtype, 1, cuetype, Mask_A5, RZ, 441, ReactionType, hit
Block, 2, trialnr, 26, trialtype, 4, cuetype, Mask_B3_1, RZ, 296, ReactionType, hit
Block, 2, trialnr, 27, trialtype, 1, cuetype, Mask_A5, RZ, 354, ReactionType, hit
Block, 2, trialnr, 28, trialtype, 1, cuetype, Mask_A1, RZ, 394, ReactionType, hit
Block, 2, trialnr, 29, trialtype, 2, cuetype, Mask_B4_1, RZ, 612, ReactionType, hit
Block, 2, trialnr, 30, trialtype, 1, cuetype, Mask_A5, RZ, 298, ReactionType, hit
Block, 2, trialnr, 31, trialtype, 1, cuetype, Mask_A1, RZ, 492, ReactionType, hit
Block, 2, trialnr, 32, trialtype, 3, cuetype, Mask_A1, RZ, 518, ReactionType, hit
Block, 2, trialnr, 33, trialtype, 1, cuetype, Mask_A1, RZ, 432, ReactionType, hit
Block, 2, trialnr, 34, trialtype, 1, cuetype, Mask_A3, RZ, 401, ReactionType, hit
Block, 2, trialnr, 35, trialtype, 1, cuetype, Mask_A1, RZ, 384, ReactionType, hit
Block, 2, trialnr, 36, trialtype, 3, cuetype, Mask_A1, RZ, 425, ReactionType, hit
Block, 2, trialnr, 37, trialtype, 1, cuetype, Mask_A3, RZ, 477, ReactionType, hit
Block, 2, trialnr, 38, trialtype, 1, cuetype, Mask_A1, RZ, 457, ReactionType, hit
Block, 2, trialnr, 39, trialtype, 2, cuetype, Mask_B3, RZ, 520, ReactionType, hit
Block, 2, trialnr, 40, trialtype, 1, cuetype, Mask_A1, RZ, 274, ReactionType, hit
Block, 2, trialnr, 41, trialtype, 1, cuetype, Mask_A4, RZ, 377, ReactionType, hit
Block, 2, trialnr, 42, trialtype, 1, cuetype, Mask_A1, RZ, 509, ReactionType, hit
Block, 2, trialnr, 43, trialtype, 3, cuetype, Mask_A4, RZ, 605, ReactionType, hit
Block, 2, trialnr, 44, trialtype, 1, cuetype, Mask_A1, RZ, 500, ReactionType, hit
Block, 2, trialnr, 45, trialtype, 4, cuetype, Mask_B1_1, RZ, 523, ReactionType, hit
Block, 2, trialnr, 46, trialtype, 1, cuetype, Mask_A1, RZ, 675, ReactionType, hit
Block, 2, trialnr, 47, trialtype, 1, cuetype, Mask_A1, RZ, 480, ReactionType, hit
Block, 2, trialnr, 48, trialtype, 3, cuetype, Mask_A4, RZ, 357, ReactionType, miss
Block, 2, trialnr, 49, trialtype, 1, cuetype, Mask_A1, RZ, 263, ReactionType, hit
Block, 2, trialnr, 50, trialtype, 4, cuetype, Mask_B3, RZ, 287, ReactionType, hit
Block, 2, trialnr, 51, trialtype, 1, cuetype, Mask_A3, RZ, 344, ReactionType, incorrect
Block, 2, trialnr, 52, trialtype, 1, cuetype, Mask_A2, RZ, 329, ReactionType, hit
Block, 3, trialnr, 1, trialtype, 4, cuetype, Mask_B1_1, RZ, 272, ReactionType, hit
Block, 3, trialnr, 2, trialtype, 1, cuetype, Mask_A1, RZ, 283, ReactionType, hit
Block, 3, trialnr, 3, trialtype, 3, cuetype, Mask_A1, RZ, 396, ReactionType, hit
Block, 3, trialnr, 4, trialtype, 1, cuetype, Mask_A4, RZ, 359, ReactionType, hit
Block, 3, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 391, ReactionType, hit
Block, 3, trialnr, 6, trialtype, 2, cuetype, Mask_B1, RZ, 320, ReactionType, hit
Block, 3, trialnr, 7, trialtype, 1, cuetype, Mask_A1, RZ, 271, ReactionType, hit
Block, 3, trialnr, 8, trialtype, 1, cuetype, Mask_A4, RZ, 389, ReactionType, hit
Block, 3, trialnr, 9, trialtype, 1, cuetype, Mask_A1, RZ, 388, ReactionType, hit
Block, 3, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 490, ReactionType, hit
Block, 3, trialnr, 11, trialtype, 2, cuetype, Mask_B1, RZ, 310, ReactionType, hit
Block, 3, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 309, ReactionType, hit
Block, 3, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 318, ReactionType, hit
Block, 3, trialnr, 14, trialtype, 3, cuetype, Mask_A1, RZ, 558, ReactionType, hit
Block, 3, trialnr, 15, trialtype, 1, cuetype, Mask_A1, RZ, 487, ReactionType, hit
Block, 3, trialnr, 16, trialtype, 1, cuetype, Mask_A1, RZ, 332, ReactionType, hit
Block, 3, trialnr, 17, trialtype, 4, cuetype, Mask_B2, RZ, 261, ReactionType, hit
Block, 3, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 282, ReactionType, hit
Block, 3, trialnr, 19, trialtype, 1, cuetype, Mask_A4, RZ, 418, ReactionType, hit
Block, 3, trialnr, 20, trialtype, 1, cuetype, Mask_A1, RZ, 414, ReactionType, hit
Block, 3, trialnr, 21, trialtype, 3, cuetype, Mask_A1, RZ, 603, ReactionType, hit
Block, 3, trialnr, 22, trialtype, 2, cuetype, Mask_B2_1, RZ, 270, ReactionType, hit
Block, 3, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 305, ReactionType, hit
Block, 3, trialnr, 24, trialtype, 1, cuetype, Mask_A1, RZ, 272, ReactionType, hit
Block, 3, trialnr, 25, trialtype, 1, cuetype, Mask_A1, RZ, 291, ReactionType, hit
Block, 3, trialnr, 26, trialtype, 4, cuetype, Mask_B1_1, RZ, 322, ReactionType, hit
Block, 3, trialnr, 27, trialtype, 1, cuetype, Mask_A3, RZ, 380, ReactionType, hit
Block, 3, trialnr, 28, trialtype, 1, cuetype, Mask_A1, RZ, 335, ReactionType, hit
Block, 3, trialnr, 29, trialtype, 2, cuetype, Mask_B4, RZ, 347, ReactionType, hit
Block, 3, trialnr, 30, trialtype, 1, cuetype, Mask_A5, RZ, 299, ReactionType, hit
Block, 3, trialnr, 31, trialtype, 1, cuetype, Mask_A4, RZ, 488, ReactionType, hit
Block, 3, trialnr, 32, trialtype, 3, cuetype, Mask_A4, RZ, 490, ReactionType, hit
Block, 3, trialnr, 33, trialtype, 1, cuetype, Mask_A2, RZ, 352, ReactionType, hit
Block, 3, trialnr, 34, trialtype, 2, cuetype, Mask_B3, RZ, 316, ReactionType, hit
Block, 3, trialnr, 35, trialtype, 1, cuetype, Mask_A1, RZ, 246, ReactionType, hit
Block, 3, trialnr, 36, trialtype, 4, cuetype, Mask_B4, RZ, 639, ReactionType, hit
Block, 3, trialnr, 37, trialtype, 1, cuetype, Mask_A5, RZ, 358, ReactionType, hit
Block, 3, trialnr, 38, trialtype, 1, cuetype, Mask_A2, RZ, 412, ReactionType, hit
Block, 3, trialnr, 39, trialtype, 3, cuetype, Mask_A3, RZ, 466, ReactionType, hit
Block, 3, trialnr, 40, trialtype, 1, cuetype, Mask_A2, RZ, 406, ReactionType, hit
Block, 3, trialnr, 41, trialtype, 1, cuetype, Mask_A1, RZ, 397, ReactionType, hit
Block, 3, trialnr, 42, trialtype, 1, cuetype, Mask_A3, RZ, 412, ReactionType, hit
Block, 3, trialnr, 43, trialtype, 4, cuetype, Mask_B4, RZ, 335, ReactionType, hit
Block, 3, trialnr, 44, trialtype, 1, cuetype, Mask_A1, RZ, 456, ReactionType, hit
Block, 3, trialnr, 45, trialtype, 1, cuetype, Mask_A3, RZ, 239, ReactionType, hit
Block, 3, trialnr, 46, trialtype, 2, cuetype, Mask_B4, RZ, 262, ReactionType, hit
Block, 3, trialnr, 47, trialtype, 1, cuetype, Mask_A1, RZ, 275, ReactionType, hit
Block, 3, trialnr, 48, trialtype, 3, cuetype, Mask_A5, RZ, 558, ReactionType, hit
Block, 3, trialnr, 49, trialtype, 1, cuetype, Mask_A2, RZ, 321, ReactionType, hit
Block, 3, trialnr, 50, trialtype, 1, cuetype, Mask_A1, RZ, 382, ReactionType, hit
Block, 3, trialnr, 51, trialtype, 4, cuetype, Mask_B1, RZ, 493, ReactionType, hit
Block, 3, trialnr, 52, trialtype, 1, cuetype, Mask_A4, RZ, 732, ReactionType, hit
Block, 4, trialnr, 1, trialtype, 1, cuetype, Mask_A4, RZ, 363, ReactionType, hit
Block, 4, trialnr, 2, trialtype, 1, cuetype, Mask_A1, RZ, 325, ReactionType, hit
Block, 4, trialnr, 3, trialtype, 3, cuetype, Mask_A1, RZ, 524, ReactionType, hit
Block, 4, trialnr, 4, trialtype, 1, cuetype, Mask_A4, RZ, 344, ReactionType, hit
Block, 4, trialnr, 5, trialtype, 4, cuetype, Mask_B1, RZ, 300, ReactionType, hit
Block, 4, trialnr, 6, trialtype, 1, cuetype, Mask_A4, RZ, 293, ReactionType, hit
Block, 4, trialnr, 7, trialtype, 2, cuetype, Mask_B2_1, RZ, 384, ReactionType, hit
Block, 4, trialnr, 8, trialtype, 1, cuetype, Mask_A5, RZ, 484, ReactionType, hit
Block, 4, trialnr, 9, trialtype, 4, cuetype, Mask_B3_1, RZ, 316, ReactionType, hit
Block, 4, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 315, ReactionType, incorrect
Block, 4, trialnr, 11, trialtype, 2, cuetype, Mask_B2, RZ, 394, ReactionType, incorrect
Block, 4, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 284, ReactionType, hit
Block, 4, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 474, ReactionType, hit
Block, 4, trialnr, 14, trialtype, 3, cuetype, Mask_A5, RZ, 641, ReactionType, hit
Block, 4, trialnr, 15, trialtype, 1, cuetype, Mask_A1, RZ, 388, ReactionType, hit
Block, 4, trialnr, 16, trialtype, 1, cuetype, Mask_A5, RZ, 314, ReactionType, hit
Block, 4, trialnr, 17, trialtype, 4, cuetype, Mask_B3, RZ, 525, ReactionType, hit
Block, 4, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 292, ReactionType, hit
Block, 4, trialnr, 19, trialtype, 1, cuetype, Mask_A1, RZ, 376, ReactionType, hit
Block, 4, trialnr, 20, trialtype, 1, cuetype, Mask_A1, RZ, 366, ReactionType, hit
Block, 4, trialnr, 21, trialtype, 3, cuetype, Mask_A1, RZ, 442, ReactionType, hit
Block, 4, trialnr, 22, trialtype, 2, cuetype, Mask_B2, RZ, 711, ReactionType, hit
Block, 4, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 419, ReactionType, hit
Block, 4, trialnr, 24, trialtype, 1, cuetype, Mask_A5, RZ, 472, ReactionType, hit
Block, 4, trialnr, 25, trialtype, 3, cuetype, Mask_A2, RZ, 549, ReactionType, hit
Block, 4, trialnr, 26, trialtype, 1, cuetype, Mask_A5, RZ, 467, ReactionType, hit
Block, 4, trialnr, 27, trialtype, 4, cuetype, Mask_B2, RZ, 440, ReactionType, hit
Block, 4, trialnr, 28, trialtype, 1, cuetype, Mask_A1, RZ, 323, ReactionType, hit
Block, 4, trialnr, 29, trialtype, 2, cuetype, Mask_B3_1, RZ, 364, ReactionType, hit
Block, 4, trialnr, 30, trialtype, 1, cuetype, Mask_A4, RZ, 468, ReactionType, hit
Block, 4, trialnr, 31, trialtype, 1, cuetype, Mask_A1, RZ, 268, ReactionType, hit
Block, 4, trialnr, 32, trialtype, 1, cuetype, Mask_A1, RZ, 322, ReactionType, hit
Block, 4, trialnr, 33, trialtype, 3, cuetype, Mask_A1, RZ, 567, ReactionType, hit
Block, 4, trialnr, 34, trialtype, 1, cuetype, Mask_A1, RZ, 321, ReactionType, hit
Block, 4, trialnr, 35, trialtype, 1, cuetype, Mask_A5, RZ, 418, ReactionType, hit
Block, 4, trialnr, 36, trialtype, 2, cuetype, Mask_B3, RZ, 639, ReactionType, miss
Block, 4, trialnr, 37, trialtype, 1, cuetype, Mask_A1, RZ, 304, ReactionType, hit
Block, 4, trialnr, 38, trialtype, 1, cuetype, Mask_A2, RZ, 539, ReactionType, hit
Block, 4, trialnr, 39, trialtype, 4, cuetype, Mask_B3, RZ, 249, ReactionType, hit
Block, 4, trialnr, 40, trialtype, 1, cuetype, Mask_A1, RZ, 335, ReactionType, hit
Block, 4, trialnr, 41, trialtype, 1, cuetype, Mask_A1, RZ, 291, ReactionType, hit
Block, 4, trialnr, 42, trialtype, 1, cuetype, Mask_A2, RZ, 318, ReactionType, hit
Block, 4, trialnr, 43, trialtype, 1, cuetype, Mask_A4, RZ, 276, ReactionType, hit
Block, 4, trialnr, 44, trialtype, 2, cuetype, Mask_B3, RZ, 281, ReactionType, hit
Block, 4, trialnr, 45, trialtype, 1, cuetype, Mask_A1, RZ, 568, ReactionType, hit
Block, 4, trialnr, 46, trialtype, 3, cuetype, Mask_A1, RZ, 528, ReactionType, incorrect
Block, 4, trialnr, 47, trialtype, 1, cuetype, Mask_A1, RZ, 557, ReactionType, hit
Block, 4, trialnr, 48, trialtype, 1, cuetype, Mask_A1, RZ, 346, ReactionType, hit
Block, 4, trialnr, 49, trialtype, 1, cuetype, Mask_A2, RZ, 346, ReactionType, hit
Block, 4, trialnr, 50, trialtype, 1, cuetype, Mask_A2, RZ, 306, ReactionType, hit
Block, 4, trialnr, 51, trialtype, 2, cuetype, Mask_B2, RZ, 353, ReactionType, hit
Block, 4, trialnr, 52, trialtype, 4, cuetype, Mask_B1_1, RZ, 446, ReactionType, hit
